Nodes,3, Interval,0.1, EverageDelay,0+91.725474+89.946355, TotalpktRecvd,0+18+22, TotalpktSent,0+1273+1559
Nodes,7, Interval,0.1, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,0.1, EverageDelay,0++++++++, TotalpktRecvd,0+0+0+0+0+0+0+0+0, TotalpktSent,0+142+427+425+705+706+990+990+1272
Nodes,31, Interval,0.1, EverageDelay,0+++++++++++++++++, TotalpktRecvd,0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0, TotalpktSent,0+0+0+0+0+0+0+0+0+0+142+142+425+426+707+708+0+0
Nodes,3, Interval,0.2, EverageDelay,0+79.758401+79.473881, TotalpktRecvd,0+52+49, TotalpktSent,0+1274+1414
Nodes,7, Interval,0.2, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,0.2, EverageDelay,0++++++++, TotalpktRecvd,0+0+0+0+0+0+0+0+0, TotalpktSent,0+283+424+423+564+561+706+706+849
Nodes,31, Interval,0.2, EverageDelay,0+++++++++++++++++, TotalpktRecvd,0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0, TotalpktSent,0+0+0+0+0+0+0+0+71+71+212+211+353+355+496+495+0+0
Nodes,3, Interval,0.5, EverageDelay,0+74.187303+74.290847, TotalpktRecvd,0+100+82, TotalpktSent,0+849+905
Nodes,7, Interval,0.5, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,0.5, EverageDelay,0++237.877828+238.865814+240.014712++244.178510+242.748730+242.777190, TotalpktRecvd,0+0+3+3+12+0+11+1+5, TotalpktSent,0+455+508+508+564+567+624+623+678
Nodes,31, Interval,0.5, EverageDelay,0+++++++++++++++++, TotalpktRecvd,0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0, TotalpktSent,0+0+0+0+0+0+0+0+28+29+85+86+141+141+199+198+0+0
Nodes,3, Interval,0.7, EverageDelay,0+70.792564+70.794268, TotalpktRecvd,0+265+208, TotalpktSent,0+1434+1474
Nodes,7, Interval,0.7, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,0.7, EverageDelay,0+429.909849+430.838867+404.967626+380.962836+430.079393+423.431499+431.807891+380.384939, TotalpktRecvd,0+21+32+17+23+17+27+14+13, TotalpktSent,0+1032+1070+1071+1111+1109+1156+1153+1190
Nodes,31, Interval,0.7, EverageDelay,0+866.927203++866.939757+866.739962+866.666549+866.544020+866.283989+864.563782+866.163937+865.820627+865.136156+862.404464+867.210780+867.122437+866.812348++, TotalpktRecvd,0+110+0+68+54+68+85+47+45+64+68+62+45+35+36+101+0+0, TotalpktSent,0+4991+0+5023+5063+5065+5112+5106+5148+5147+5192+5185+5229+5226+5266+5270+0+0
Nodes,3, Interval,0.9, EverageDelay,0+69.474111+69.476522, TotalpktRecvd,0+524+400, TotalpktSent,0+2140+2165
Nodes,7, Interval,0.9, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,0.9, EverageDelay,0+343.523333+336.351195+333.567234+339.563084+324.956925+326.383254+313.545867+315.522521, TotalpktRecvd,0+7+18+11+19+9+22+6+12, TotalpktSent,0+582+613+611+645+645+676+674+707
Nodes,31, Interval,0.9, EverageDelay,0+++++++++++++++++, TotalpktRecvd,0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0, TotalpktSent,0+0+0+0+0+0+0+0+16+16+47+47+78+79+111+110+0+0
Nodes,3, Interval,1, EverageDelay,0+69.503133+69.504946, TotalpktRecvd,0+356+274, TotalpktSent,0+1330+1357
Nodes,7, Interval,1, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,1, EverageDelay,0+475.087652+474.953714+473.591908+474.731867+478.279728+478.138066+477.542446+477.349990, TotalpktRecvd,0+38+48+30+34+36+45+24+24, TotalpktSent,0+1190+1214+1216+1244+1243+1270+1271+1303
Nodes,31, Interval,1, EverageDelay,0+742.214051++753.059030+745.015392+737.199919+744.618780+750.276638+749.097698+733.646574+747.919235+747.462604+739.148514+733.168201+713.900351+745.718850++, TotalpktRecvd,0+31+0+24+26+22+33+21+19+16+30+18+20+10+16+29+0+0, TotalpktSent,0+1373+0+1401+1428+1427+1456+1458+1486+1484+1510+1512+1543+1542+1571+1572+0+0
Nodes,3, Interval,5, EverageDelay,0+53.207665+53.211073, TotalpktRecvd,0+12135+11315, TotalpktSent,0+13657+13650
Nodes,7, Interval,5, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,5, EverageDelay,0+496.492604+496.265989+495.856081+494.871910+498.407435+498.186201+497.823928+497.635251, TotalpktRecvd,0+56+63+46+42+53+58+37+29, TotalpktSent,0+339+343+341+346+349+355+355+359
Nodes,31, Interval,5, EverageDelay,0+866.189617++866.601646+867.460004+866.667415+867.059833+869.182137+867.059037+867.881197+868.191161+867.928164+867.899454+868.122951+868.255865+867.953223++, TotalpktRecvd,0+242+0+133+98+123+159+78+75+137+129+120+86+71+64+194+0+0, TotalpktSent,0+1320+0+1323+1329+1331+1338+1335+1342+1341+1348+1345+1355+1347+1356+1354+0+0
Nodes,3, Interval,10, EverageDelay,0+93.229750+93.213231, TotalpktRecvd,0+2547+2374, TotalpktSent,0+2846+2842
Nodes,7, Interval,10, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,10, EverageDelay,0+573.457451+573.440165+573.495805+573.447563+573.485889+573.467859+573.502553+573.482094, TotalpktRecvd,0+875+747+797+540+708+631+531+359, TotalpktSent,0+2229+2236+2233+2237+2237+2240+2242+2240
Nodes,31, Interval,10, EverageDelay,0+994.056298++995.728666+995.088139+993.509292+993.515657+993.151247+993.032356+996.146349+995.588748+993.525964+993.250817+994.985809+993.924818+993.709061++, TotalpktRecvd,0+554+0+197+159+42+53+58+59+237+197+223+141+187+175+275+0+0, TotalpktSent,0+1079+0+1080+1083+1080+1087+1091+1090+1090+1090+1090+1095+1093+1097+1097+0+0
Nodes,3, Interval,15, EverageDelay,0+135.745402+135.710593, TotalpktRecvd,0+5747+5738, TotalpktSent,0+6575+6572
Nodes,7, Interval,15, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,15, EverageDelay,0+447.781670+447.279358+447.431120+447.609859+448.097120+448.046102+448.024823+447.996559, TotalpktRecvd,0+173+163+147+101+160+151+113+83, TotalpktSent,0+298+300+298+303+303+303+302+306
Nodes,31, Interval,15, EverageDelay,0+812.081421++811.961406+811.657667+812.416854+812.412046+812.489305+811.985375+812.319141+811.863588+812.011355+811.932901+812.095364+812.287229+811.851561++, TotalpktRecvd,0+733+0+528+322+355+424+216+207+384+341+380+257+305+219+497+0+0, TotalpktSent,0+1315+0+1314+1317+1321+1326+1319+1321+1321+1322+1322+1324+1324+1326+1330+0+0
Nodes,3, Interval,20, EverageDelay,0+170.990136+171.003573, TotalpktRecvd,0+4303+4309, TotalpktSent,0+4927+4934
Nodes,7, Interval,20, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,20, EverageDelay,0+389.399209+389.390580+389.400302+389.342004+389.405683+389.385153+389.378856+389.389957, TotalpktRecvd,0+3038+2759+2673+2312+2662+2447+2312+2090, TotalpktSent,0+4168+4172+4173+4178+4183+4172+4181+4178
Nodes,31, Interval,20, EverageDelay,0+896.137519++895.842542+895.714557+896.963458+895.429471+895.508901+895.545432+895.006449+894.951636+895.413839+895.017208+894.509871+894.732932+895.124918++, TotalpktRecvd,0+339+0+305+241+88+83+104+113+279+247+242+165+276+181+295+0+0, TotalpktSent,0+637+0+636+639+641+639+641+643+642+645+642+646+644+646+645+0+0
Nodes,3, Interval,25, EverageDelay,0+205.814625+205.811044, TotalpktRecvd,0+3450+3438, TotalpktSent,0+3942+3949
Nodes,7, Interval,25, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,25, EverageDelay,0+447.929560+447.938576+447.873749+447.880387+447.938102+447.946911+448.014077+448.015555, TotalpktRecvd,0+2368+2208+2110+1951+1915+1760+2111+1943, TotalpktSent,0+3339+3337+3341+3337+3345+3337+3343+3339
Nodes,31, Interval,25, EverageDelay,0+703.427962++703.480002+702.490028+702.589184+703.668330+704.056531+702.681903+703.040918+703.023523+703.015675+703.233703+705.427189+703.506248+703.022715++, TotalpktRecvd,0+180+0+177+150+156+144+119+102+158+153+138+106+124+114+139+0+0, TotalpktSent,0+317+0+321+320+321+321+323+323+324+323+325+324+324+328+326+0+0
Nodes,3, Interval,30, EverageDelay,0+240.945967+240.924771, TotalpktRecvd,0+2874+2865, TotalpktSent,0+3285+3289
Nodes,7, Interval,30, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,30, EverageDelay,0+542.706169+542.625433+542.905648+542.877896+++542.575389+542.655929, TotalpktRecvd,0+654+569+594+544+0+0+582+529, TotalpktSent,0+958+953+955+956+957+958+956+958
