Nodes,3, Interval,1, EverageDelay,30.275033, TotalpktRecvd,0+0+658, TotalpktSent,0+1330+1357
Nodes,7, Interval,1, EverageDelay,, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+28+29+58
Nodes,15, Interval,1, EverageDelay,180.942081, TotalpktRecvd,0+0+23+0+21+0+24+0+22, TotalpktSent,0+296+324+325+353+353+380+381+412
Nodes,3, Interval,5, EverageDelay,105.745301, TotalpktRecvd,0+12011+11423, TotalpktSent,0+13657+13650
Nodes,7, Interval,5, EverageDelay,880.844433, TotalpktRecvd,0+257+172+232+149, TotalpktSent,0+558+563+563+568
Nodes,15, Interval,5, EverageDelay,3587.247132, TotalpktRecvd,0+59+60+55+50+61+64+41+40, TotalpktSent,0+339+343+341+346+349+355+355+359
Nodes,3, Interval,10, EverageDelay,185.559025, TotalpktRecvd,0+4848+4553, TotalpktSent,0+5413+5413
Nodes,7, Interval,10, EverageDelay,851.166125, TotalpktRecvd,0+656+484+552+365, TotalpktSent,0+781+781+783+786
Nodes,15, Interval,10, EverageDelay,3600.675667, TotalpktRecvd,0+625+529+392+270+633+535+391+269, TotalpktSent,0+1312+1315+1318+1321+1319+1319+1322+1323
Nodes,3, Interval,15, EverageDelay,271.630033, TotalpktRecvd,0+5748+5737, TotalpktSent,0+6575+6572
Nodes,7, Interval,15, EverageDelay,913.826455, TotalpktRecvd,0+4602+4547+4300+4246, TotalpktSent,0+6119+6119+6114+6122
Nodes,15, Interval,15, EverageDelay,3719.751423, TotalpktRecvd,0+940+793+692+446+846+762+569+389, TotalpktSent,0+1409+1410+1411+1419+1419+1414+1416+1422
Nodes,3, Interval,20, EverageDelay,341.829689, TotalpktRecvd,0+4304+4309, TotalpktSent,0+4927+4934
Nodes,7, Interval,20, EverageDelay,1186.737444, TotalpktRecvd,0+3519+3483+3210+3190, TotalpktSent,0+4590+4579+4591+4589
Nodes,15, Interval,20, EverageDelay,3083.26049, TotalpktRecvd,0+3000+2806+2708+2327+2690+2385+2354+2066, TotalpktSent,0+4168+4172+4173+4178+4183+4172+4181+4178
Nodes,3, Interval,25, EverageDelay,411.178089, TotalpktRecvd,0+3448+3439, TotalpktSent,0+3942+3949
Nodes,7, Interval,25, EverageDelay,1446.003022, TotalpktRecvd,0+1908+1793+1872+1579, TotalpktSent,0+2482+2488+2489+2492
Nodes,15, Interval,25, EverageDelay,3617.638243, TotalpktRecvd,0+533+506+498+445+505+449+433+384, TotalpktSent,0+779+780+781+782+782+781+785+785
Nodes,3, Interval,30, EverageDelay,481.594528, TotalpktRecvd,0+2874+2865, TotalpktSent,0+3285+3289
Nodes,7, Interval,30, EverageDelay,1622.332052, TotalpktRecvd,0+2188+2182+2148+2143, TotalpktSent,0+3057+3062+3056+3054
Nodes,15, Interval,30, EverageDelay,4128.958291, TotalpktRecvd,0+1901+1794+1813+1581+1772+1658+1613+1490, TotalpktSent,0+2779+2781+2785+2783+2783+2787+2783+2781
Nodes,3, Interval,35, EverageDelay,551.236486, TotalpktRecvd,0+2459+2455, TotalpktSent,0+2822+2817
Nodes,7, Interval,35, EverageDelay,1841.733308, TotalpktRecvd,0+1906+1911+1830+1793, TotalpktSent,0+2619+2620+2625+2620
Nodes,15, Interval,35, EverageDelay,4654.455402, TotalpktRecvd,0+1606+1550+1523+1378+1515+1410+1405+1296, TotalpktSent,0+2383+2388+2382+2383+2385+2386+2388+2389
Nodes,3, Interval,40, EverageDelay,622.253658, TotalpktRecvd,0+2149+2142, TotalpktSent,0+2467+2464
Nodes,7, Interval,40, EverageDelay,2084.760968, TotalpktRecvd,0+1698+1728+1558+1541, TotalpktSent,0+2291+2292+2296+2293
Nodes,15, Interval,40, EverageDelay,5223.166666, TotalpktRecvd,0+1413+1282+1289+1249+1322+1217+1217+1174, TotalpktSent,0+2089+2087+2087+2092+2081+2086+2092+2087
