Nodes,3, Interval,1, EverageDelay,139.444301,139.444301
Nodes,3, Interval,5, EverageDelay,111.052267,22.2104534
Nodes,3, Interval,10, EverageDelay,193.298021,19.3298021
Nodes,3, Interval,15, EverageDelay,286.288348,19.08588987
Nodes,3, Interval,20, EverageDelay,361.3697,18.068485
Nodes,3, Interval,25, EverageDelay,437.612333,17.50449332
Nodes,3, Interval,30, EverageDelay,512.487376,17.08291253
Nodes,3, Interval,35, EverageDelay,590.643376,16.87552503
Nodes,3, Interval,40, EverageDelay,662.428089,16.56070223
Nodes,7, Interval,1, EverageDelay,846.200245,846.200245
Nodes,7, Interval,5, EverageDelay,943.258332,188.6516664
Nodes,7, Interval,10, EverageDelay,833.570338,83.3570338
Nodes,7, Interval,15, EverageDelay,779.741619,51.9827746
Nodes,7, Interval,20, EverageDelay,993.759943,49.68799715
Nodes,7, Interval,25, EverageDelay,1082.321107,43.29284428
Nodes,7, Interval,30, EverageDelay,1308.502472,43.61674907
Nodes,7, Interval,35, EverageDelay,1499.494345,42.84269557
Nodes,7, Interval,40, EverageDelay,1606.081455,40.15203638
Nodes,15, Interval,1, EverageDelay,3560.523128,3560.523128
Nodes,15, Interval,5, EverageDelay,3449.513993,689.9027986
Nodes,15, Interval,10, EverageDelay,4165.229726,416.5229726
Nodes,15, Interval,15, EverageDelay,4002.345818,266.8230545
Nodes,15, Interval,20, EverageDelay,3584.911918,179.2455959
Nodes,15, Interval,25, EverageDelay,2623.993496,104.9597398
Nodes,15, Interval,30, EverageDelay,3353.409254,111.7803085
Nodes,15, Interval,35, EverageDelay,3976.993705,113.6283916
Nodes,15, Interval,40, EverageDelay,1723.175962,43.07939905
